OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue,flag_negative_value,flag_zero_quantity,OrderMonth,AgeGroup
500001,103695,2025-08-28,2003,4.0,10.0,Gateway,Completed,36.0,Qom,2024-03-05,Regular,USB-C Cable,Accessories,9.0,32.0,32.0,False,False,2025-08,35-44
500002,107935,2024-05-31,2014,1.0,10.0,Wallet,Completed,49.0,Kerman,2025-06-04,Regular,Backpack,Accessories,42.0,38.0,38.0,False,False,2024-05,45-54
500003,105141,2025-08-10,2002,1.0,20.0,CardToCard,Completed,36.0,Tehran,2025-10-19,Regular,Mechanical Keyboard,Electronics,62.0,50.0,50.0,False,False,2025-08,35-44
500004,108780,2024-10-11,2012,1.0,10.0,Gateway,Completed,45.0,Shiraz,2023-12-07,Regular,Office Chair,Home Office,180.0,162.0,162.0,False,False,2024-10,35-44
500005,101187,2024-02-19,2008,2.0,0.0,Gateway,Completed,24.0,Karaj,2023-12-02,Regular,Phone Case,Accessories,14.0,28.0,28.0,False,False,2024-02,<25
500006,105545,2024-07-16,2011,4.0,0.0,Gateway,Returned,28.0,Tehran,2024-08-07,New,Desk Lamp,Home Office,32.0,128.0,128.0,False,False,2024-07,25-34
500007,106418,2025-10-15,2017,1.0,5.0,Wallet,Completed,23.0,Isfahan,2023-03-09,New,HDMI Cable,Accessories,11.0,10.0,10.0,False,False,2025-10,<25
500008,108755,2024-12-03,2014,1.0,0.0,Gateway,Completed,41.0,Mashhad,2025-11-20,Regular,Backpack,Accessories,42.0,42.0,42.0,False,False,2024-12,35-44
500009,105133,2025-04-15,2004,1.0,10.0,Gateway,Completed,40.0,Isfahan,2025-05-04,New,Power Bank,Electronics,35.0,32.0,32.0,False,False,2025-04,35-44
500010,103111,2024-04-28,2014,2.0,5.0,Gateway,Cancelled,43.0,Mashhad,2024-06-20,New,Backpack,Accessories,42.0,80.0,80.0,False,False,2024-04,35-44
500011,102192,2024-03-21,2004,3.0,30.0,Gateway,Completed,37.0,Tehran,2023-12-02,New,Power Bank,Electronics,35.0,74.0,74.0,False,False,2024-03,35-44
500012,102921,2024-07-25,2001,1.0,5.0,Wallet,Completed,33.0,Tabriz,2024-01-19,VIP,Wireless Mouse,Electronics,18.0,17.0,17.0,False,False,2024-07,25-34
500013,101803,2025-02-12,2005,3.0,10.0,CardToCard,Completed,39.0,Isfahan,2024-10-31,Regular,Laptop Stand,Accessories,28.0,76.0,76.0,False,False,2025-02,35-44
